icfes_puesto,cutoff,ingresa_u3
-615,-850,0.80000001
-615,-571,1
-614,-850,0.60000002
-614,-571,0.71428573
-613,-850,0.66666669
-613,-571,0.66666669
-612,-850,0.44444445
-612,-571,0.66666669
-611,-850,0.625
-611,-571,0.66666669
-610,-850,0.69230771
-610,-571,0.80000001
-609,-850,0.63636363
-609,-571,0
-608,-850,0.72727275
-608,-571,0.66666669
-607,-850,1
-607,-571,0.375
-606,-850,0.75
-606,-571,0
-605,-850,0.75
-605,-571,1
-604,-850,0.69999999
-604,-571,1
-603,-850,0.86666667
-603,-571,0.66666669
-602,-850,0.77777779
-602,-571,0.66666669
-601,-850,0.83333331
-601,-571,0.33333334
-600,-850,1
-599,-850,0.63636363
-599,-571,1
-598,-850,0.6875
-598,-571,0.80000001
-597,-850,0.69999999
-597,-571,1
-596,-850,0.5714286
-596,-571,0.60000002
-595,-850,0.64285713
-595,-571,0.5
-594,-850,0.5
-594,-571,0.40000001
-593,-850,0.75
-593,-571,0.5
-592,-850,0.71428573
-592,-571,0.75
-591,-850,1
-591,-571,0.80000001
-590,-850,0.89999998
-590,-571,0.33333334
-589,-850,0.58333331
-589,-571,1
-588,-850,0.75
-588,-571,0.66666669
-587,-850,0.625
-587,-571,0.75
-586,-850,0.875
-586,-571,0.71428573
-585,-850,1
-585,-571,0.5
-584,-850,0.61538464
-584,-571,0.80000001
-583,-850,0.75
-583,-571,1
-582,-850,0.92307693
-582,-571,0.60000002
-581,-850,0.5
-581,-571,1
-580,-850,1
-580,-571,1
-579,-850,0.80000001
-579,-571,0
-578,-850,0.75
-578,-571,1
-577,-850,0.77777779
-577,-571,1
-576,-850,0.66666669
-576,-571,0.25
-575,-850,0.73333335
-575,-571,0.25
-574,-850,1
-574,-571,0.66666669
-573,-850,0.75
-573,-571,0.83333331
-572,-850,0.64705884
-572,-571,0.5
-571,-850,0.8888889
-571,-571,1
-570,-850,0.76923078
-569,-850,0.75
-569,-571,1
-568,-850,0.86666667
-568,-571,1
